Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - CL - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""RUNNING""","=""1058.04""","=""1826.0999999999997""","=""768.0599999999997""","=""72.59271861177268""","=""0.13379362670713202""","=""0.2309180576631259"""
"=""""","=""S1 - COL - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""RUNNING""","=""581.09""","=""1008.46""","=""427.37""","=""73.54626649916536""","=""0.10297536771220982""","=""0.17870990607832712"""
"=""""","=""S1 - CR - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""RUNNING""","=""346.17999999999995""","=""516.3199999999999""","=""170.14""","=""49.14784216303658""","=""0.06712817529571455""","=""0.10012022493697885"""
"=""""","=""S1 - UGA - Prestamos estatales - state-loans-intl.xyz""","=""RUNNING""","=""304.19""","=""458.52""","=""154.32999999999998""","=""50.734738157072876""","=""0.0986029173419773""","=""0.1486288492706645"""
"=""""","=""S1 - PA - Préstamos estatales - prestamos-estatales.xyz (2)""","=""RUNNING""","=""223.47""","=""286""","=""62.53""","=""27.981384525887144""","=""0.04638231631382316""","=""0.0593607305936073"""
"=""""","=""S1 - MEX - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (articulo)""","=""RUNNING""","=""218.4""","=""264.03000000000003""","=""45.630000000000024""","=""20.892857142857153""","=""0.04737527114967462""","=""0.05727331887201736"""
"=""""","=""S1 - UY - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""214.21""","=""245.34""","=""31.129999999999995""","=""14.532468138742352""","=""0.06392420173082662""","=""0.07321396598030439"""
"=""""","=""S1 - PA - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""RUNNING""","=""195.64""","=""257.27""","=""61.629999999999995""","=""31.5017378859129""","=""0.21104638619201724""","=""0.277529665587918"""
"=""""","=""S1 - CL - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""186.26000000000005""","=""207.73999999999998""","=""21.479999999999933""","=""11.532266723934246""","=""0.03420124862284246""","=""0.038145427836944544"""
"=""""","=""S1 - PAY - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""182.84""","=""242.31000000000003""","=""59.47000000000003""","=""32.52570553489391""","=""0.017367021276595746""","=""0.02301576747720365"""
"=""""","=""S1 - GHA - Becas China - scholarships-to-study-in-china-intl.xyz""","=""RUNNING""","=""155.10999999999999""","=""174.00000000000003""","=""18.890000000000043""","=""12.178454000386852""","=""0.10118069145466405""","=""0.11350293542074366"""
"=""""","=""S1 - PR - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""RUNNING""","=""130.61""","=""142.75""","=""12.139999999999986""","=""9.294847255187188""","=""0.12498564593301437""","=""0.13660287081339714"""
"=""""","=""S1 - PAY - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""118.36999999999999""","=""322.84000000000003""","=""204.47000000000003""","=""172.73802483737438""","=""0.020412140024142093""","=""0.0556716675288843"""
"=""""","=""S1 - PA - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""RUNNING""","=""106.02999999999999""","=""133.93000000000004""","=""27.90000000000005""","=""26.313307554465766""","=""0.06916503587736464""","=""0.08736464448793219"""
"=""""","=""S1 - BO - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""99.75""","=""90.7""","=""-9.049999999999997""","=""-9.07268170426065""","=""0.0397093949044586""","=""0.03610668789808917"""
"=""""","=""S1 - PA - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""RUNNING""","=""98.28""","=""110.96""","=""12.679999999999993""","=""12.901912901912894""","=""0.07101156069364162""","=""0.08017341040462428"""
"=""""","=""S1 - NIG - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""93.88""","=""116.85000000000001""","=""22.970000000000013""","=""24.46740519812528""","=""0.05289014084507042""","=""0.06583098591549297"""
"=""""","=""S1 - CL - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""RUNNING""","=""92.89999999999999""","=""94.02000000000001""","=""1.1200000000000188""","=""1.2055974165769847""","=""0.07338072669826223""","=""0.0742654028436019"""
"=""""","=""S1 - CL - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""90.42""","=""198.75""","=""108.33""","=""119.80756469807565""","=""0.027491638795986623""","=""0.06042870173304956"""
"=""""","=""S1 - PAY - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""76.27999999999999""","=""73.77""","=""-2.509999999999991""","=""-3.2905086523334965""","=""0.024543114543114537""","=""0.023735521235521233"""
"=""""","=""S1 - HON - Préstamos estatales - prestamos-estatales.xyz (Dinamico)""","=""RUNNING""","=""74.39000000000001""","=""102.28999999999999""","=""27.899999999999977""","=""37.50504100013438""","=""0.014617803104735707""","=""0.02010021615248575"""
